Average size,Src Port,Dst Port,Protocol,Time,Category
60,42534,443,1,2415.33,Web
64,42530,443,1,73.91,Web
140,42522,443,1,1142.17,Web
92,137,137,0,1528.4,System
64,51542,5355,0,207.0,Network
64,60662,5355,0,0.0,Network
60,22,8888,1,3030.0,RemoteAccess
298,13972,53,0,13352.5,Network
90,13973,123,0,20.0,System
76,64714,443,1,5030.7,Web
94,42524,443,1,19.83,Web
64,54745,5355,0,207.0,Network
64,50563,5355,0,0.5,Network
64,58344,5355,0,0.0,Network
64,64964,5355,0,205.5,Network
64,63587,5355,0,0.5,Network
64,54627,5355,0,206.0,Network
64,54047,5355,0,0.5,Network
64,56771,5355,0,209.0,Network
64,61382,5355,0,0.0,Network
64,63159,5355,0,207.0,Network
60,22,63081,1,5398.0,RemoteAccess
99,55517,53,0,1202.5,Network
99,62277,53,0,0.0,Network
64,59554,5355,0,207.5,Network
64,54329,5355,0,0.5,Network
60,22,63082,1,3680.0,RemoteAccess
527,64717,13000,1,238.5,Web
64,62218,5355,0,206.0,Network
64,64036,5355,0,0.0,Network
64,62129,5355,0,0.5,Network
64,49354,5355,0,207.5,Network
64,53266,5355,0,205.0,Network
64,49773,5355,0,1.0,Network
1037,64719,13000,1,7.76,Web
455,64720,13000,1,28.0,Web
456,64721,13000,1,112.24,Web
475,64722,13000,1,27.33,Web
92,137,137,0,660.0,System
64,56043,5355,0,0.0,Network
64,61799,5355,0,94.0,Network
64,60436,5355,0,0.5,Network
64,49473,5355,0,105.25,Network
64,49356,5355,0,0.5,Network
64,56677,5355,0,211.0,Network
64,59011,5355,0,0.0,Network
64,57011,5355,0,210.5,Network
64,61338,5355,0,0.0,Network
64,52261,5355,0,211.0,Network
60,31776,443,1,1306.4,Web
64,31773,443,1,90.45,Web
156,31783,443,1,375.59,Web
64,52455,5355,0,0.0,Network
64,61949,5355,0,209.0,Network
145,51434,161,0,51.36,Network
64,52603,5355,0,0.5,Network
64,61888,5355,0,4.0,Network
64,63361,5355,0,0.0,Network
64,64350,5355,0,210.5,Network
64,53826,5355,0,39.0,Network
64,57660,5355,0,0.5,Network
64,51743,5355,0,69.5,Network
64,63058,5355,0,0.5,Network
64,51739,5355,0,0.5,Network
64,51091,5355,0,136.0,Network
64,55064,5355,0,0.0,Network
64,52447,5355,0,109.5,Network
64,58472,5355,0,0.5,Network
64,61096,5355,0,0.0,Network
64,52924,5355,0,0.5,Network
64,56320,5355,0,101.5,Network
64,57897,5355,0,61.5,Network
64,53094,5355,0,0.5,Network
64,53092,5355,0,0.0,Network
64,64498,5355,0,117.5,Network
64,49854,5355,0,0.5,Network
64,55817,5355,0,86.0,Network
64,56033,5355,0,0.0,Network
64,65104,5355,0,210.5,Network
60,22,8888,1,377.0,RemoteAccess
64,61224,5355,0,0.0,Network
64,49645,5355,0,210.5,Network
64,53993,5355,0,0.0,Network
64,57293,5355,0,112.5,Network
64,52850,5355,0,0.5,Network
64,59393,5355,0,54.75,Network
64,65157,5355,0,78.0,Network
64,59640,5355,0,0.0,Network
64,64465,5355,0,71.0,Network
64,57541,5355,0,0.0,Network
64,54723,5355,0,141.0,Network
64,60770,5355,0,0.0,Network
64,56098,5355,0,0.5,Network
64,65448,5355,0,0.0,Network
64,60201,5355,0,0.5,Network
64,50276,5355,0,70.5,Network
64,64374,5355,0,0.0,Network
64,58874,5355,0,0.5,Network
64,63350,5355,0,54.0,Network
64,53612,5355,0,0.0,Network
64,50148,5355,0,105.5,Network
64,61416,5355,0,157.0,Network
64,62320,5355,0,212.0,Network
64,58033,5355,0,0.0,Network
192,63346,53,0,566.5,Network
120,63140,53,0,4.5,Network
192,63346,53,0,10.0,Network
120,63140,53,0,22.5,Network
152,63346,53,0,0.5,Network
64,50302,5355,0,0.5,Network
64,56688,5355,0,1.5,Network
474,32445,13000,1,22.57,Web
192,56691,53,0,378.5,Network
120,56692,53,0,0.0,Network
486,32446,80,1,48.07,Download
64,59300,5355,0,0.0,Network
64,50616,5355,0,211.0,Network
64,49556,5355,0,0.0,Network
64,60035,5355,0,5.5,Network
64,63025,5355,0,210.5,Network
64,55187,5355,0,0.5,Network
64,60078,5355,0,0.0,Network
64,55232,5355,0,210.5,Network
64,59403,5355,0,0.5,Network
64,55246,5355,0,23.5,Network
64,54760,5355,0,0.5,Network
64,56104,5355,0,1.0,Network
526,32447,13000,1,57.96,Web
64,60098,5355,0,204.5,Network
64,59515,5355,0,0.5,Network
64,52271,5355,0,0.0,Network
64,60676,5355,0,0.5,Network
64,57521,5355,0,0.0,Network
64,58531,5355,0,210.5,Network
64,57378,5355,0,94.0,Network
64,65279,5355,0,0.5,Network
64,50737,5355,0,211.0,Network
64,63842,5355,0,0.0,Network
64,58819,5355,0,208.0,Network
